iter	RMSE
430	0.1443778458
431	0.1442704115
432	0.1442301352
433	0.1441187377
434	0.1440655798
435	0.1439647471
436	0.1439290546
437	0.1438253617
438	0.1437803365
439	0.1437640747
440	0.1436936979
441	0.1436588834
442	0.1436201539
443	0.1435813024
444	0.1434964186
445	0.143436039
446	0.1432947357
447	0.1432261521
448	0.1432102357
449	0.1431744518
450	0.1431068631
451	0.1430765776
452	0.1430097557
453	0.1429753198
454	0.1429330132
455	0.1429171981
456	0.1428615202
457	0.1428241154
458	0.1427834469
459	0.142751339
460	0.1426159903
461	0.1425321942
462	0.14251672
463	0.1424598389
464	0.142434779
465	0.1423800088
466	0.1423216425
467	0.1422414521
468	0.142154465
469	0.1421100373
470	0.1420655262
471	0.1420317146
472	0.1419988109
473	0.1419427459
474	0.1418744825
475	0.1418372785
476	0.1418066994
477	0.1417353663
478	0.1416631777
479	0.1415906593
480	0.1415753384
481	0.141515036
482	0.1414715523
483	0.1414397308
484	0.1413490388
485	0.1413039728
486	0.1412805591
487	0.1412496233
488	0.1412345262
489	0.1412080281
490	0.1411576295
491	0.1410944109
492	0.1410674605
493	0.1410375326
494	0.1409640577
495	0.1409491958
496	0.1409254954
497	0.1408849479
498	0.1407875335
499	0.1407364841
500	0.1406802333
501	0.1405746109
502	0.1405400713
503	0.1404244791
504	0.1403448749
505	0.1403075265
506	0.1401899109
507	0.1401751813
508	0.1401261266
509	0.1400975923
510	0.1399930001
511	0.1399512931
512	0.1398768377
513	0.1398448587
514	0.1397643604
515	0.1397500391
516	0.1396517452
517	0.1396300061
518	0.139517107
519	0.1394698652
520	0.1393903094
521	0.1393507308
522	0.1393263655
523	0.139293095
524	0.1392708206
525	0.1392359124
526	0.1392022291
527	0.1391394539
528	0.139078402
529	0.1389846694
530	0.1389562452
531	0.1388902814
532	0.1388761921
533	0.1388456839
534	0.1387948501
535	0.1387150275
536	0.1386864157
537	0.1386638221
538	0.1386407379
539	0.1385424121
540	0.1384499123
541	0.1383808045
542	0.1382779482
543	0.13821638
544	0.1381746639
545	0.1381487892
546	0.1380823403
547	0.1380367761
548	0.1380189487
549	0.1379970269
550	0.1379642313
551	0.1378634669
552	0.1378087784
553	0.13779488
554	0.1376727503
555	0.1376034039
556	0.1375312537
557	0.1374921145
558	0.1374127072
559	0.1372964843
560	0.1372755053
561	0.1372295028
562	0.1372157058
563	0.1371568201
564	0.137077451
565	0.1369848699
566	0.1369265404
567	0.1368374859
568	0.1367622333
569	0.1367314824
570	0.1366327276
571	0.1365292856
572	0.1364971732
573	0.1364835539
574	0.1364225436
575	0.1363958658
576	0.1363735633
577	0.1363520554
578	0.1362922867
579	0.1362030183
580	0.1361784352
581	0.136157515
582	0.1360577034
583	0.1360024163
584	0.1359015278
585	0.1358238086
586	0.135757128
587	0.1356657829
588	0.1356524329
589	0.1356010157
590	0.1354914415
591	0.1354654886
592	0.1354402762
593	0.1353469933
594	0.1352662553
595	0.1351795352
596	0.1351671429
597	0.135131622
598	0.1350826392
599	0.1349988539
600	0.1349865476
601	0.1349133997
602	0.1348450239
603	0.1347981953
604	0.1347510695
605	0.1347317244
606	0.1346806657
607	0.134641989
608	0.1345923648
609	0.1345630905
610	0.1345441378
611	0.1344878964
612	0.1344215956
613	0.134317419
614	0.1342528084
615	0.134234267
616	0.1341931966
617	0.134158543
618	0.1341464447
619	0.1341272106
620	0.1340736193
621	0.1340183098
622	0.1339654107
623	0.1338684675
624	0.1338143943
625	0.1337706311
626	0.1337095834
627	0.1336816735
628	0.1336278724
629	0.133615982
630	0.1336043506
631	0.13359279
632	0.13350713
633	0.1334751226
634	0.1334489238
635	0.1333976142
636	0.1333815047
637	0.1333374528
638	0.1333183226
639	0.1332651804
640	0.1332224334
641	0.1331822416
642	0.1331218546
643	0.1330816944
644	0.1329896046
645	0.1328914476
646	0.1328533728
647	0.1328420425
648	0.1328158037
649	0.1327308558
650	0.1326635712
651	0.1326355484
652	0.132576314
653	0.1325592663
654	0.1325345848
655	0.132519068
656	0.1324965472
657	0.1324570011
658	0.1324198909
659	0.1323909828
660	0.132365739
661	0.1323429062
662	0.1322820202
663	0.1322118852
664	0.1321759565
665	0.1321647823
666	0.1321116183
667	0.132059295
668	0.1319606339
669	0.1319488348
670	0.1318731297
671	0.1318470714
672	0.1317845158
673	0.1316925198
674	0.1316815823
675	0.131642872
676	0.1315833835
677	0.1315414994
678	0.1315199762
679	0.1315093256
680	0.1314988453
681	0.1314649316
682	0.1314034169
683	0.1313795834
684	0.1313314635
685	0.1313138732
686	0.1311989204
687	0.1311529377
688	0.131086276
689	0.1310037162
690	0.1309723545
691	0.1309518074
692	0.1309269733
693	0.1308784051
694	0.1308215896
695	0.1307998163
696	0.1307614459
697	0.1307200569
698	0.1307097109
699	0.1306911484
700	0.1306309674
701	0.1305907913
702	0.1305394526
703	0.1304765592
704	0.1304410164
705	0.1304307696
706	0.1303685157
707	0.1303183455
708	0.130248476
709	0.1302196457
710	0.1301470986
711	0.1301137985
712	0.1300648097
713	0.1300005914
714	0.1299555405
715	0.1299198466
716	0.1298630479
717	0.1298473556
718	0.1298022344
719	0.1297816302
720	0.1297253326
721	0.1296775854
722	0.1296427668
723	0.1295597185
724	0.1295040503
725	0.1294539729
726	0.1294244247
727	0.1293451584
728	0.12930556
729	0.1292954102
730	0.1292413809
731	0.1291538302
732	0.129143715
733	0.1290795326
734	0.1290632119
735	0.1289986496
736	0.1289631711
737	0.1289178974
738	0.1288713867
739	0.1288475325
740	0.1288249141
741	0.1287665746
742	0.1287566603
743	0.1286975166
744	0.1286474506
745	0.1286094623
746	0.128592355
747	0.1285230228
748	0.12850642
749	0.1284669045
750	0.1284144325
751	0.1283786674
752	0.1283688245
753	0.1283522095
754	0.1282836689
755	0.1282374738
756	0.1282196171
757	0.1281598941
758	0.1281336014
759	0.1280505529
760	0.1280313031
761	0.1280206856
762	0.1279716914
763	0.1279250631
764	0.1278704222
765	0.127832464
766	0.1278146687
767	0.1277958245
768	0.1277854069
769	0.1277693814
770	0.1277466435
771	0.1277363599
772	0.1276516464
773	0.1276414672
774	0.1275893921
775	0.1275249888
776	0.1275097699
777	0.127469648
778	0.1274520011
779	0.1274132821
780	0.1273515697
781	0.1273163366
782	0.1272853195
783	0.127202745
784	0.1271426534
785	0.1270753527
786	0.1270245874
787	0.1269857158
788	0.1269634086
789	0.1269206276
790	0.1269105442
791	0.1269016665
792	0.1268850983
793	0.1268391728
794	0.1267906238
795	0.1267158107
796	0.1266897956
797	0.126631473
798	0.1265798223
799	0.126564913
800	0.1265127928
801	0.1264941426
802	0.1264786449
803	0.1264021748
804	0.1263502005
805	0.126306744
806	0.1262830609
807	0.1262169369
808	0.1261928789
809	0.1261539744
810	0.126111255
811	0.1261013254
812	0.1260553733
813	0.1260224821
814	0.125966511
815	0.1259195331
816	0.1259062204
817	0.1258962357
818	0.1258728151
819	0.1258071537
820	0.1257663325
821	0.1257402319
822	0.1257243101
823	0.1257147062
824	0.1256996982
825	0.1256866309
826	0.1256771464
827	0.1256158674
828	0.1255616981
829	0.125522445
830	0.1254687617
831	0.1254107037
832	0.12537581
833	0.1253457175
834	0.125268348
835	0.1252519614
836	0.1251872222
837	0.1251711771
838	0.1251346325
839	0.1250585749
840	0.1250432332
841	0.1250212202
842	0.1250117425
843	0.1249690864
844	0.1249222042
845	0.124880692
846	0.1248488622
847	0.1248056122
848	0.1247522805
849	0.1247090022
850	0.124596762
851	0.1245884022
852	0.1245462062
853	0.1245325515
854	0.124495979
855	0.1244585449
856	0.1244110962
857	0.124395938
858	0.1243618155
859	0.124338916
860	0.1242960449
861	0.1242668954
862	0.1242346306
863	0.1242030269
864	0.1241514012
865	0.1240991826
866	0.1240466855
867	0.1240115685
868	0.1239943146
869	0.1239808476
870	0.1239035273
871	0.1238637271
872	0.1238511444
873	0.1238164186
874	0.1237604083
875	0.1237458271
876	0.1236697245
877	0.1236113801
878	0.1235527352
879	0.1235093728
880	0.1234799342
881	0.1234603339
882	0.1234340868
883	0.123393292
884	0.1233515532
885	0.1233063222
886	0.1232936155
887	0.1232553411
888	0.1232101423
889	0.1231551631
890	0.1230957909
891	0.1230538253
892	0.1229987508
893	0.122942936
894	0.1229285839
895	0.1228860124
896	0.1228772502
897	0.1228451078
898	0.1227978345
899	0.1227801182
900	0.1227271653
901	0.1226853206
902	0.1226708773
903	0.1226357354
904	0.1225944757
905	0.122585421
906	0.1225723612
907	0.1225227755
908	0.1224864906
909	0.1224382694
910	0.1224018372
911	0.1223717091
912	0.1223282058
913	0.1222842697
914	0.122275719
915	0.1222322225
916	0.1221945077
917	0.1221561163
918	0.1221063027
919	0.1220572762
920	0.1219995355
921	0.1219615148
922	0.1219038421
923	0.1218112257
924	0.1217789403
925	0.1217662843
926	0.1217152519
927	0.1217068253
928	0.1216929134
929	0.1216766211
930	0.1216211896
931	0.1215784777
932	0.1215450955
933	0.1215367058
934	0.1215028943
935	0.1214946706
936	0.1214645348
937	0.1214221458
938	0.1213857451
939	0.1213722224
940	0.1213289635
941	0.1213040146
942	0.1212549037
943	0.1212433199
944	0.1211931975
945	0.1211263285
946	0.1211135937
947	0.1210918111
948	0.1210782321
949	0.1210487297
950	0.1210198781
951	0.1209683744
952	0.1209288022
953	0.1209207181
954	0.1208633397
955	0.1208156389
956	0.1207724525
957	0.1207447528
958	0.1206780288
959	0.1206672562
960	0.1206245852
961	0.1205970714
962	0.1205385922
963	0.1205002374
964	0.1204894679
965	0.1204595535
966	0.1204366026
967	0.1203869191
968	0.1203402857
969	0.1202748951
970	0.1202645239
971	0.1202561533
972	0.1201921024
973	0.1201427239
974	0.1200897954
975	0.1200794544
976	0.1200364184
977	0.1199865356
978	0.1199438001
979	0.1199093564
980	0.1198710896
981	0.1198511407
982	0.1198050731
983	0.1197774104
984	0.1197425751
985	0.1197156999
986	0.1196748077
987	0.1196669495
988	0.1196455613
989	0.1196157246
990	0.1195719633
991	0.119547609
992	0.1195345363
993	0.1195017514
994	0.1194581155
995	0.1194268771
996	0.1194134588
997	0.1193703679
998	0.1193143472
999	0.1192704315
